Number_of_cars,Number_of_different_loads,num_wheels1,length1,shape1,num_loads1,load_shape1,num_wheels2,length2,shape2,num_loads2,load_shape2,num_wheels3,length3,shape3,num_loads3,load_shape3,num_wheels4,length4,shape4,num_loads4,load_shape4,Rectangle_next_to_rectangle,Rectangle_next_to_triangle,Rectangle_next_to_hexagon,Rectangle_next_to_circle,Triangle_next_to_triangle,Triangle_next_to_hexagon,Triangle_next_to_circle,Hexagon_next_to_hexagon,Hexagon_next_to_circle,Circle_next_to_circle,Class_attribute
5,2,2,short,openrect,1,trianglod,2,short,closedtrap,1,trianglod,3,long,openrect,3,rectanglod(short),2,short,ushaped,1,trianglod,0,1,0,0,1,0,0,0,0,0,east
5,2,2,short,ushaped,2,trianglod,2,short,opentrap,1,rectanglod(medium),2,short,openrect,1,rectanglod(medium),2,short,ellipse,1,rectanglod(medium),1,0,0,0,0,0,0,0,0,0,east
3,2,2,short,ellipse,1,trianglod,2,short,ushaped,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,east
5,3,2,long,jaggedtop,1,rectanglod(long),2,short,openrect,1,trianglod,2,short,openrect,1,trianglod,2,short,dbsloptop,1,circlelod,0,1,0,0,1,0,1,0,0,0,east
3,2,2,short,ushaped,1,trianglod,2,short,opentrap,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
3,2,2,short,openrect,1,circlelod,2,short,openrect,1,trianglod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,east
5,3,2,short,ushaped,1,trianglod,2,long,closedrect,1,circlelod,2,short,closedrect,1,circlelod,2,long,openrect,1,rectanglod(long),0,0,0,1,0,0,1,0,0,1,east
5,3,2,short,opentrap,1,trianglod,2,short,dbclosedrect,1,diamondlod,2,long,openrect,3,rectanglod(short),2,short,ushaped,1,diamondlod,0,0,1,0,0,1,0,0,0,0,east
4,3,2,short,ellipse,1,rectanglod(medium),2,short,ushaped,1,trianglod,2,short,opentrap,2,circlelod,None,None,None,None,None,0,1,0,0,0,0,1,0,0,0,east
4,2,2,short,openrect,1,circlelod,2,short,openrect,1,trianglod,2,short,opentrap,1,trianglod,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,east
4,3,2,long,openrect,1,rectanglod(long),3,long,closedrect,1,invtrianglod,2,short,ellipse,1,invtrianglod,None,None,None,None,None,0,1,0,0,0,0,1,0,0,0,east
4,2,2,short,openrect,1,trianglod,2,short,dblopnrect,1,diamondlod,2,short,ushaped,1,trianglod,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,east
4,2,2,short,openrect,1,rectanglod(medium),2,short,hexagon,1,circlelod,3,long,openrect,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
5,2,2,short,openrect,1,circlelod,2,short,openrect,1,circlelod,2,short,openrect,1,trianglod,2,short,openrect,1,trianglod,0,0,0,0,1,0,0,0,0,1,east
5,2,2,long,jaggedtop,1,circlelod,2,long,openrect,2,circlelod,2,short,ushaped,1,circlelod,2,short,sloptop,1,diamondlod,0,0,0,0,0,0,0,0,0,1,east
5,2,2,short,closedtrap,1,circlelod,2,short,opentrap,1,trianglod,2,short,opentrap,2,circlelod,2,short,closedrect,1,trianglod,0,0,0,0,0,0,1,0,0,0,west
4,3,2,long,openrect,3,rectanglod(short),2,short,opentrap,1,trianglod,2,short,openrect,1,circlelod,None,None,None,None,None,0,1,0,0,0,0,1,0,0,0,west
4,2,2,short,openrect,1,circlelod,3,long,closedrect,1,hexaglod,2,short,dblopnrect,1,circlelod,None,None,None,None,None,0,0,0,0,0,0,0,0,1,0,west
3,2,2,short,openrect,1,circlelod,2,short,closedrect,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
5,4,2,short,dblopnrect,1,circlelod,2,short,sloptop,1,trianglod,3,long,jaggedtop,1,rectanglod(long),2,short,openrect,1,diamondlod,0,1,0,0,0,0,1,0,0,0,west
5,4,3,long,closedrect,3,hexaglod,2,long,openrect,3,rectanglod(short),2,short,openrect,1,trianglod,2,long,closedrect,1,rectanglod(long),0,1,1,0,0,0,0,0,0,0,west
4,2,2,short,ushaped,1,circlelod,3,long,openrect,1,circlelod,2,short,ellipse,1,trianglod,None,None,None,None,None,0,0,0,0,0,0,1,0,0,1,west
5,2,2,short,ellipse,1,trianglod,2,short,ushaped,1,circlelod,2,short,opentrap,1,circlelod,2,short,closedtraptop,1,circlelod,0,0,0,0,0,0,1,0,0,1,west
5,4,2,short,opentrap,1,rectanglod(medium),2,short,openrect,1,diamondlod,2,short,sloptop,1,trianglod,3,long,openrect,1,circlelod,0,0,0,0,0,0,1,0,0,0,west
3,1,2,short,openrect,1,trianglod,2,short,closedushaped,1,trianglod,2,None,None,None,None,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,west
5,3,2,short,ellipse,1,trianglod,2,short,hexagon,1,rectanglod(medium),2,long,openrect,3,circlelod,2,short,openrect,1,trianglod,0,1,0,1,0,0,1,0,0,0,west
4,2,2,short,hexagon,1,rectanglod(medium),2,short,ushaped,1,circlelod,2,long,jaggedtop,1,rectanglod(long),None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
4,2,2,long,closedrect,3,rectanglod(short),2,short,openrect,1,trianglod,2,long,jaggedtop,1,rectanglod(long),None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,west
4,3,2,short,ushaped,1,trianglod,2,short,openrect,1,circlelod,2,short,ushaped,1,rectanglod(medium),None,None,None,None,None,0,0,0,1,0,0,1,0,0,0,west
3,2,2,short,dblopnrect,1,circlelod,2,short,ushaped,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
3,2,3,long,jaggedtop,1,rectanglod(long),2,short,opentrap,2,trianglod,None,None,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,west
3,2,2,short,dblopnrect,1,trianglod,2,short,openrect,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,west
3,2,2,short,dblopnrect,1,circlelod,2,short,openrect,1,rectanglod(medium),None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
5,2,2,long,jaggedtop,1,circlelod,2,long,jaggedtop,2,rectanglod(medium),2,long,openrect,3,rectanglod(short),2,short,ushaped,1,rectanglod(medium),1,0,0,1,0,0,0,0,0,0,west
4,3,2,short,ushaped,1,circlelod,2,short,openrect,1,trianglod,3,long,closedrect,1,hexaglod,None,None,None,None,None,0,0,0,0,0,1,1,0,0,0,west
5,2,3,long,jaggedtop,1,rectanglod(long),2,short,ellipse,1,rectanglod(medium),2,short,ushaped,1,rectanglod(medium),2,short,openrect,2,trianglod,1,1,0,0,0,0,0,0,0,0,west
4,2,2,short,ushaped,1,trianglod,2,short,opentrap,1,circlelod,2,short,openrect,1,trianglod,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,west
3,2,3,long,openrect,1,circlelod,2,short,closedrect,1,trianglod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,west
3,2,2,short,openrect,1,rectanglod(medium),2,short,hexagon,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
5,2,2,short,ushaped,1,trianglod,3,long,jaggedtop,1,invtrianglod,2,short,opentrap,1,circlelod,2,short,dblopnrect,1,circlelod,0,0,0,0,0,0,0,0,0,1,west
4,3,2,short,dblopnrect,1,rectanglod(medium),2,short,openrect,1,trianglod,3,long,openrect,3,rectanglod(short),None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,east
5,3,2,short,openrect,1,trianglod,3,long,closedrect,1,invtrianglod,2,short,opentrap,1,trianglod,2,short,ushaped,1,rectanglod(medium),0,1,0,0,1,0,0,0,0,0,east
3,2,2,short,openrect,1,rectanglod(medium),2,short,dblopnrect,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
4,1,2,short,sloptop,1,circlelod,3,long,closedrect,None,None,2,short,closedrect,1,circlelod,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,east
4,1,2,short,openrect,1,circlelod,2,short,openrect,1,circlelod,2,short,opentrap,1,circlelod,None,None,None,None,None,0,0,0,0,0,0,0,0,0,1,east
5,3,2,short,ushaped,1,trianglod,3,long,openrect,3,rectanglod(short),2,short,openrect,1,circlelod,2,short,openrect,1,circlelod,0,1,0,1,0,0,0,0,0,1,east
4,3,3,long,jaggedtop,1,rectanglod(long),2,long,jaggedtop,3,hexaglod,2,short,openrect,1,trianglod,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,east
4,2,2,short,traptop,1,circlelod,2,short,hexagon,1,circlelod,2,short,openrect,1,rectanglod(medium),None,None,None,None,None,0,0,0,1,0,0,0,0,0,1,east
5,3,2,short,ushaped,1,circlelod,2,long,jaggedtop,1,rectanglod(long),2,short,opentrap,1,trianglod,2,short,dblopnrect,1,trianglod,0,1,0,1,1,0,0,0,0,0,east
5,2,2,short,dblopnrect,1,circlelod,3,short,closedtrap,1,circlelod,2,short,dblopnrect,1,circlelod,2,short,sloptop,1,trianglod,0,0,0,0,0,0,1,0,0,1,east
5,3,3,long,openrect,1,rectanglod(long),2,long,closedrect,1,rectanglod(long),2,short,dblopnrect,1,circlelod,2,short,closedtraptop,1,rectanglod(medium),1,0,0,1,0,0,0,0,0,0,east
4,3,2,short,dbclosedrect,1,trianglod,2,long,openrect,1,rectanglod(long),2,short,ellipse,2,rectanglod(short),None,None,None,None,None,1,1,0,0,0,0,0,0,0,0,east
5,1,2,short,hexagon,1,trianglod,3,short,opentrap,1,trianglod,2,short,sloptop,1,trianglod,2,short,openrect,1,trianglod,0,0,0,0,1,0,0,0,0,0,east
3,2,2,short,openrect,1,trianglod,3,short,openrect,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,east
4,2,2,short,closedrect,1,circlelod,2,long,jaggedtop,3,rectanglod(short),2,short,ushaped,1,circlelod,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,east
5,2,2,short,openrect,1,trianglod,2,long,jaggedtop,2,rectanglod(medium),2,short,openrect,1,trianglod,None,None,None,None,None,0,1,0,0,1,0,0,0,0,0,east
4,2,3,long,closedrect,2,rectanglod(medium),3,long,openrect,2,rectanglod(medium),2,short,closedrect,1,circlelod,None,None,None,None,None,1,0,0,1,0,0,1,0,0,0,east
5,4,3,long,closedrect,3,rectanglod(short),2,short,dblopnrect,1,diamondlod,2,long,openrect,1,invtrianglod,2,short,openrect,1,circlelod,0,0,1,0,0,1,0,0,0,0,east
3,0,3,long,closedrect,0,None,3,long,openrect,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,1,0,east
4,2,2,long,closedrect,1,circlelod,2,short,openrect,1,circlelod,2,long,openrect,3,rectanglod(medium),None,None,None,None,None,0,0,0,1,0,0,0,0,0,1,east
5,3,2,short,ushaped,1,rectanglod(medium),3,long,closedrect,1,rectanglod(long),2,short,dblopnrect,1,trianglod,2,short,opentrap,1,trianglod,1,1,0,0,1,0,0,0,0,0,east
4,2,2,short,openrect,1,circlelod,2,short,openrect,1,diamondlod,2,short,opentrap,1,circlelod,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,east
3,2,2,short,hexagon,1,trianglod,2,short,closedtraptop,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,east
5,2,2,short,closedushaped,1,circlelod,2,short,ellipse,1,circlelod,3,short,openrect,1,rectanglod(long),2,short,opentrap,1,circlelod,0,0,0,1,0,0,0,0,0,1,east
3,2,2,short,openrect,1,trianglod,2,short,openrect,1,rectanglod(medium),None,None,None,0,None,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,east
3,2,2,short,ellipse,1,rectanglod (medium),3,long,openrect,1,hexaglod,None,None,None,None,None,None,None,None,None,None,0,0,1,0,0,0,0,0,0,0,west
4,1,2,long,closedrect,0,None,2,short,openrect,1,trianglod,2,short,opentrap,1,trianglod,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,west
5,3,2,short,openrect,1,circlelod,3,long,closerect,3,rectanglod,2,short,openrect,1,circlelod,2,long,closerect,1,rectanglod(Long),0,0,0,1,0,0,0,0,0,0,west
5,3,2,long,openrect,1,hexaglod,2,short,openrect,1,trianglod,2,short,hexagon,1,circlelod,2,short,openrect,1,ciclelod,0,0,0,0,0,1,1,0,0,1,west
5,3,2,short,hexagon,1,circlelod,2,long,closerect,3,rectanglod,2,short,closerect,1,rectanglod(medium),2,short,opentrap,1,trianglod,1,1,0,1,0,0,0,0,0,0,west
4,3,3,long,closedrect,1,hexaglod,2,short,opentrap,1,rectanglod(medium),2,short,openrect,1,circlelod,None,None,None,None,None,0,0,1,1,0,0,0,0,0,0,west
5,3,3,long,closedrect,2,rectanglod (medium),3,long,closerect,3,rectanglod(short),2,long,closerect,3,rectanglod(short),2,short,opentrap,1,trianglod,1,1,0,0,0,0,0,0,0,0,west
3,2,2,short,openrect,1,trianglod,2,long,closerect,3,hexaglod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,0,0,0,0,west
4,2,2,long,closedrect,1,hexaglod,2,long,jaggedtop,1,rectanglod(long),2,long,jaggedtop,None,None,None,None,None,None,None,0,0,1,0,0,0,0,0,0,0,west
5,3,2,short,ushaped,1,circlelod,2,long,closerect,3,rectanglod(short),2,short,openrect,1,circlelod,2,short,openrect,1,rectanglod(medium),0,0,0,1,0,0,0,0,0,0,west
4,3,2,short,dbclosedrect,1,rectanglod (medium),2,short,opentrap,1,trianglod,2,short,opentrap,1,diamondlod,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,west
5,3,3,long,closedrect,3,rectanglod (short),2,short,opentrap,2,trianglod,2,short,opentrap,1,trianglod,2,short,hexagon,1,ciclelod,0,1,0,0,1,0,1,0,0,0,west
4,3,3,long,jaggedtop,2,rectanglod(medium),2,short,openrect,1,circlelod,2,long,closerect,1,rectanglod(long),None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
4,2,2,short,openrect,1,circlelod,2,short,closerect,1,rectanglod(medium),2,short,opentrap,1,circlelod,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
4,3,2,short,openrect,1,circlelod,2,long,closerect,3,rectanglod(short),2,short,openrect,1,rectanglod(medium),None,None,None,None,None,1,0,0,1,0,0,0,0,0,0,west
3,2,3,long,closedrect,1,upsidedowntri,2,short,ushape,1,trianglod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,west
3,2,2,short,openrect,1,trianglod,2,short,openrect,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,west
5,1,2,short,closedushaped,1,circlelod,3,long,closerect,None,None,3,long,closerect,1,circlelod,2,short,dbopenrect,1,ciclelod,0,0,0,0,0,0,0,0,0,1,west
5,3,2,short,ushapedhousetop,1,trianglod,2,short,ellipse,1,diamondlod,2,long,openrect,1,rectanglod(long),2,long,openrect,1,rectanglod(Long),1,0,0,0,0,0,0,0,0,0,west
3,2,2,short,dbopenrect,1,trianglod,2,long,closerect,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,west
5,3,2,short,dbopenrect,1,trianglod,2,short,opentrap,1,trianglod,2,short,hexagon,1,circlelod,2,long,openrect,3,rectanglod(short),0,0,0,1,1,0,1,0,0,0,west
3,2,2,long,closerect,3,rectanglod(short),2,short,hexagon,2,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
3,2,3,long,closerect,3,rectanglod(short),2,short,housetoprect,1,circlelod,None,None,None,None,None,None,None,None,None,None,0,0,0,1,0,0,0,0,0,0,west
3,1,2,short,openrect,1,trianglod,2,short,housetoprect,1,trianglod,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1,0,0,0,0,0,west
4,3,2,short,ushaped,1,trianglod,2,short,opentrap,1,circlelod,2,short,opentrap,1,rectanglod(medium),None,None,None,None,None,0,0,0,1,0,0,1,0,0,0,west
